Arad,10,13100,6800,6300,4400,,ROU276
Arges,6,12600,6400,6200,3800,,ROU301
Bacau,7,15800,8200,7600,5600,,ROU312
Bihor,9,15400,8000,7400,5000,,ROU277
Bistrita-Nasaud,6,3900,1900,2000,1400,,ROU295
Botosani,8,8700,4700,4000,2800,,ROU287
Brasov,6,18800,10000,8800,5700,,ROU305
Braila,9,9600,5100,4500,3100,,ROU313
Buzau,8,11800,6100,5700,4300,,ROU314
Caras-Severin,10,10600,5300,5300,3500,,ROU278
Calarasi,7,3600,2000,1600,1300,,ROU129
Cluj,5,16200,8500,7700,5200,,ROU296
Constanta,7,20200,10800,9400,6400,,ROU133
Covasna,6,4000,2100,1900,1200,,ROU306
Dambovita,8,12900,6800,6100,4500,,ROU130
Dolj,9,16400,9000,7400,5200,,ROU122
Galati,9,16600,8700,7900,5700,,ROU315
Giurgiu,7,4700,2400,2300,1600,,ROU131
Gorj,10,12400,6500,5900,4300,,ROU123
Harghita,3.7,4699,2468,2231,2076,,ROU307
Hunedoara,4.3,9413,4914,4499,3995,,ROU297
Ialomita,5.6,8158,4479,3679,3450,,ROU132
Iasi,4.2,20859,11505,9344,7779,,ROU308
Ilfov,2.7,10371,5128,5243,7318,,ROU4844
Maramures,4.4,9316,4894,4422,3215,,ROU298
Mehedinti,5.6,7708,3893,3815,3144,,ROU124
Mures,3.2,10714,5486,5228,7566,,ROU299
Neamt,3.7,8413,4337,4076,3646,,ROU309
Olt,4.6,13932,7432,6500,4341,,ROU126
Prahova,4.8,32780,17666,15114,11843,,ROU310
Alba,9,8100,4400,3700,2500,,ROU294
